Brewery ID,Brewer Name,City,State,Zip,Lat,Long
697,Kiuchi Brewery,,,,,
699,Butterfield Brewing Company,,,,,
702,Flying Bison Brewing Company,,,,,
703,Erdinger Weissbräu,,,,,
705,Union Station Brewery,,,,,
709,Slavutych Brewery,,,,,
710,Jacob Leinenkugel Brewing Company,,,,,
711,Alley Kat Brewing Company,,,,,
715,Brauerei Fohrenburg GmbH & Co,,,,,
716,Asahi Breweries Ltd,,,,,
717,Oak Creek Brewing Co.,,,,,
718,Brouwerij Bavik,,,,,
719,Blitz-Weinhard Brewing Co.,,,,,
720,Demarche Brewery,,,,,
722,Cervecería Bavaria,,,,,
723,"Cervecería Leona, S. A.",,,,,
725,Brouwerij Haacht NV,,,,,
726,Dortmunder Actien Brauerei / DAB,,,,,
727,Asia Pacific Breweries Ltd.,,,,,
728,Zhongce Beijing Beer Company,,,,,
729,Palmetto Brewing Company,,,,,
730,Steam Whistle Brewing,,,,,
732,Brauerei Schützengarten AG,,,,,
733,Middle East International Investments Group/MEIIG,,,,,
736,Hurlimann Brewery,,,,,
739,Brouwerij De Ranke,,,,,
741,"Lakefront Brewery, Inc.",,,,,
742,District ChopHouse & Brewery,,,,,
743,Lancaster Brewing Company,,,,,
744,Little Creatures Brewing Company,,,,,
746,Valley Forge Brewing Company,,,,,
748,RCH Brewery,,,,,
749,Boyne River Brewing Company,,,,,
750,Lake Superior Brewing Company,,,,,
751,Big Sky Brewing Company,,,,,
753,Brasserie Caracole,,,,,
754,Erie Brewing Co.,,,,,
755,Big Buck Brewery & Steakhouse #1,,,,,
757,Big Buck Brewery & Steakhouse #3,,,,,
758,Uncle Buck's Brewery & Steakhouse,,,,,
761,CB's Brewing Company,,,,,
762,Butte Creek Brewing Company,,,,,
764,Blue Point Brewing Company,,,,,
765,Trafalgar Ales & Meads,,,,,
766,Heartland Brewery Union Square,,,,,
769,Amsterdam Brewing Company,,,,,
771,Ferme Brasserie Schoune,,,,,
772,Brasserie Vervifontaine,,,,,
773,Elm City Brewing Co.,,,,,
774,Idaho Brewing Company,,,,,
775,York Brewery Company Limited,,,,,
776,Catamount Brewing Company,,,,,
777,"Underground, The",,,,,
778,Pioneer Brewing Company,,,,,
780,Granville Island Brewery,,,,,
781,Longwood Brewpub & Restaurant,,,,,
782,"City Brewing Company, LLC",,,,,
783,Royal Unibrew A/S,,,,,
786,Stevens Point Brewery,,,,,
788,Slab City Brewing Company,,,,,
790,Nicolet Brewing Company,,,,,
793,Lake Louie Brewery Company,,,,,
794,Harbor City Brewing Company,,,,,
795,Brothers Brewing Company,,,,,
796,Eureka Brewing Co.,,,,,
797,Old European Brewing Company,,,,,
798,Castle Eden & Camerons Brewing Company Ltd,,,,,
800,"Thai Amarit Brewery Co., Ltd.",,,,,
803,Faultline Brewing Company,,,,,
