beer,abv,ibu,style,brewery
Captain Selin's Cream,4.5,10.0,American-Style Cream Ale or Lager,Selin's Grove Brewing Co.
McGovern's Oatmeal Stout,4.5,10.0,Oatmeal Stout,Belfast Bay Brewing Company
Lobster Ale,4.5,10.0,American-Style Amber/Red Ale,Belfast Bay Brewing Company
Richbrau Oatmeal Stout,5.2,10.0,Oatmeal Stout,Richbrau Brewing Company
Big Nasty Porter,6.4,10.0,Porter,Richbrau Brewing Company
Old Nick Pale Ale,5.5,10.0,American-Style Pale Ale,Richbrau Brewing Company
Richbrau India Pale Ale,6.2,10.0,American-Style India Pale Ale,Richbrau Brewing Company
Richbrau Barleywine,12.3,10.0,American-Style Barley Wine Ale,Richbrau Brewing Company
Griffin Golden Ale,5.2,10.0,Golden or Blonde Ale,Richbrau Brewing Company
Santa's Little Helper Witbier,5.7,10.0,Belgian-Style White,Richbrau Brewing Company
Richbrau Abbey-Style Ale,7.0,10.0,Other Belgian-Style Ales,Richbrau Brewing Company
El Toro Negro Oatmeal Stout,4.5,10.0,Oatmeal Stout,El Toro Brewing Company
State Street Oatmeal Stout,6.1,10.0,Oatmeal Stout,Walldorff Brew Pub
Padawan Pale Ale,5.0,10.0,American-Style Pale Ale,Walldorff Brew Pub
Hopnoxxxious,7.45,10.0,Imperial or Double India Pale Ale,Walldorff Brew Pub
Amber Waves,4.85,10.0,American-Style Amber/Red Ale,Walldorff Brew Pub
Bistro Blonde,4.2,10.0,Golden or Blonde Ale,Walldorff Brew Pub
Bee Sting Honey Rye Ale,6.5,10.0,American Rye Ale or Lager,Walldorff Brew Pub
Iron Horse Oatmeal Stout,4.5,10.0,Oatmeal Stout,Carver Brewing Co.
Old Oak Amber Ale,4.5,10.0,American-Style Amber/Red Ale,Carver Brewing Co.
Colorado Trail Nut Brown Ale,4.5,10.0,American-Style Brown Ale,Carver Brewing Co.
Lightner Creek Lager,4.5,10.0,American-Style Lager,Carver Brewing Co.
Black Stallion Oatmeal Stout,4.8,10.0,Oatmeal Stout,Sweet Water Tavern and Brewery
Great American's Restaurant Pale Ale,5.7,10.0,American-Style Pale Ale,Sweet Water Tavern and Brewery
Thomas Hooker Irish Red Ale,5.3,10.0,Irish-Style Red Ale,Thomas Hooker Brewing
American Pale Ale,5.2,10.0,American-Style Pale Ale,Thomas Hooker Brewing
Hooker Oktoberfest,5.8,10.0,German-Style Oktoberfest,Thomas Hooker Brewing
Harpoon Celtic Ale,4.5,10.0,Irish-Style Red Ale,Harpoon Brewery - Boston
Harpoon Ale,5.0,10.0,American-Style Pale Ale,Harpoon Brewery - Boston
Glacier Harvest '09 Wet Hop (100 Barrel Series #28),6.7,10.0,American-Style Pale Ale,Harpoon Brewery - Boston
Harpoon Leviathan,14.5,10.0,Imperial or Double India Pale Ale,Harpoon Brewery - Boston
Harpoon Brown Session Ale,4.3,10.0,American-Style Brown Ale,Harpoon Brewery - Boston
Harpoon Munich Dark,5.5,10.0,American-Style Brown Ale,Harpoon Brewery - Boston
Harpoon UFO Hefeweizen,4.8,10.0,South German-Style Hefeweizen,Harpoon Brewery - Boston
UFO Raspberry Hefeweizen,4.8,10.0,Fruit Beer,Harpoon Brewery - Boston
Harpoon Winter Warmer,5.9,10.0,Herb and Spice Beer,Harpoon Brewery - Boston
Boulevard Irish Ale,5.8,10.0,Irish-Style Red Ale,Boulevard Brewing Company
Bully! Porter,5.4,10.0,Porter,Boulevard Brewing Company
Boulevard Pale Ale,5.4,10.0,American-Style Pale Ale,Boulevard Brewing Company
Ten Penny American Bitter,4.5,10.0,American-Style Pale Ale,Boulevard Brewing Company
Single-Wide I.P.A.,5.7,10.0,American-Style India Pale Ale,Boulevard Brewing Company
Double Wide I.P.A.,8.5,10.0,Imperial or Double India Pale Ale,Boulevard Brewing Company
Lunar Ale,5.1,10.0,American-Style Brown Ale,Boulevard Brewing Company
Boulevard Dry Stout,4.9,10.0,American-Style Stout,Boulevard Brewing Company
Bouldevard ZíÍN,4.4,10.0,Belgian-Style White,Boulevard Brewing Company
Bob's '47 Oktoberfest,5.8,10.0,German-Style Oktoberfest,Boulevard Brewing Company
Boulevard Maibock,5.95,10.0,German-Style Heller Bock/Maibock,Boulevard Brewing Company
Boulevard Unfiltered Wheat,4.5,10.0,Light American Wheat Ale or Lager,Boulevard Brewing Company
Nut Cracker Ale,5.9,10.0,Winter Warmer,Boulevard Brewing Company
Manzanita Red,4.5,10.0,Irish-Style Red Ale,Prescott Brewing Company
Petrified Porter,4.5,10.0,Porter,Prescott Brewing Company
Prescott Pale Ale,4.5,10.0,American-Style Pale Ale,Prescott Brewing Company
Ponderosa IPA,4.5,10.0,American-Style India Pale Ale,Prescott Brewing Company
Liquid Amber,4.5,10.0,American-Style Amber/Red Ale,Prescott Brewing Company
Pine Tar Stout,4.5,10.0,American-Style Stout,Prescott Brewing Company
Lodgepole Light,4.5,10.0,American-Style Cream Ale or Lager,Prescott Brewing Company
Willow Wheat,4.5,10.0,Light American Wheat Ale or Lager,Prescott Brewing Company
King Crimson,6.0,10.0,Irish-Style Red Ale,Oak Creek Brewery
Pullman Porter,4.5,10.0,Porter,Oak Creek Brewery
Doc's Pale Ale,5.5,10.0,American-Style Pale Ale,Oak Creek Brewery
Oak Creek Amber Ale,5.5,10.0,American-Style Amber/Red Ale,Oak Creek Brewery
Village Nut Brown Ale,6.0,10.0,American-Style Brown Ale,Oak Creek Brewery
Horseshoe Hefeweizen,4.5,10.0,South German-Style Hefeweizen,Oak Creek Brewery
Oak Creek Micro Light,4.5,10.0,German-Style Pilsener,Oak Creek Brewery
Forty-Niner Gold Lager,4.5,10.0,American-Style Lager,Oak Creek Brewery
HotRod Red,6.1,10.0,Irish-Style Red Ale,Aviator Brewing Company
Old BullDog Extra Special,5.8,10.0,American-Style Strong Pale Ale,Aviator Brewing Company
Irish Amber,4.6,10.0,Irish-Style Red Ale,FINNEGANS
Zone 7 Porter,3.8,10.0,Porter,Pleasanton Main Street Brewery
Pleasanton Pale,5.3,10.0,American-Style Pale Ale,Pleasanton Main Street Brewery
Train Wreck IPA,4.5,10.0,American-Style India Pale Ale,Pleasanton Main Street Brewery
Atta Boy IPA,7.3,10.0,American-Style India Pale Ale,Pleasanton Main Street Brewery
Island Wheat,4.5,10.0,American-Style Lager,Pleasanton Main Street Brewery
Honey Wheat,3.9,10.0,American-Style Lager,Pleasanton Main Street Brewery
Porter,4.5,10.0,Porter,Jaipur Restaurant and Brewpub
Porter,4.5,10.0,Porter,Jobber's Canyon Restaurant & Brewery
Tip Top Pale Ale,4.5,10.0,American-Style Pale Ale,Jobber's Canyon Restaurant & Brewery
Oktoberfest,4.5,10.0,German-Style Oktoberfest,Jobber's Canyon Restaurant & Brewery
Princess of Darkness Porter,5.4,10.0,Porter,William Kuether Brewing
Pioneer Peak Porter,4.3,10.0,Porter,Great Bear Brewing
Ironhead Porter Old No. 3,6.0,10.0,Porter,Flour City Brewing
Irvington Porter,4.5,10.0,Porter,Alameda Brewhouse
Peak One Porter,4.5,10.0,Porter,Backcountry Brewery
Old Smoky,4.5,10.0,American-Style Lager,Backcountry Brewery
Black Sand Porter,4.5,10.0,Porter,Kona Brewing
Pipeline Porter,4.5,10.0,Porter,Kona Brewing
Fire Rock Pale Ale,5.8,10.0,American-Style Pale Ale,Kona Brewing
Stout,4.5,10.0,American-Style Stout,Kona Brewing
Longboard Lager,5.5,10.0,American-Style Lager,Kona Brewing
Lilikoi Wheat Ale,4.5,10.0,Light American Wheat Ale or Lager,Kona Brewing
Wailua,4.5,10.0,Light American Wheat Ale or Lager,Kona Brewing
Powell Porter,4.5,10.0,Porter,Main Street Alehouse
Eager Beaver IPA,4.5,10.0,American-Style India Pale Ale,Main Street Alehouse
Point Loma Porter,4.5,10.0,Porter,Coronado Brewing Company
Four Brothers Pale Ale,4.5,10.0,American-Style Pale Ale,Coronado Brewing Company
Island Pale Ale (IPA),7.0,10.0,American-Style India Pale Ale,Coronado Brewing Company
Mermaid Red,4.5,10.0,American-Style Amber/Red Ale,Coronado Brewing Company
Uptown Brown,4.5,10.0,American-Style Brown Ale,Coronado Brewing Company
Coronado Golden Ale,4.5,10.0,German-Style Pilsener,Coronado Brewing Company
Chief Blackhawk Porter,5.6,10.0,Porter,Tyranena Brewing
Stone Teepee Pale Ale,5.75,10.0,American-Style Pale Ale,Tyranena Brewing
Bitter Woman From Hell Extra IPA,4.5,10.0,American-Style India Pale Ale,Tyranena Brewing
Bitter Woman IPA,5.75,10.0,American-Style India Pale Ale,Tyranena Brewing
HopWhore Imperial India Pale Ale,4.5,10.0,Imperial or Double India Pale Ale,Tyranena Brewing
Three Beaches Honey Blonde Ale,4.5,10.0,Golden or Blonde Ale,Tyranena Brewing
Rocky's Revenge,6.0,10.0,American-Style Brown Ale,Tyranena Brewing
Fargo Brothers Hefeweizen,5.25,10.0,South German-Style Hefeweizen,Tyranena Brewing
Headless Man Amber Alt,5.0,10.0,German-Style Brown Ale/Altbier,Tyranena Brewing
Gemuetlichkeit Oktoberfest,5.5,10.0,German-Style Oktoberfest,Tyranena Brewing
Fighting Finches Bock,4.5,10.0,German-Style Heller Bock/Maibock,Tyranena Brewing
Shantytown Doppelbock,6.5,10.0,German-Style Doppelbock,Tyranena Brewing
Bitter Woman in the Rye,4.5,10.0,American Rye Ale or Lager,Tyranena Brewing
Porter,6.0,10.0,Porter,Onopa Brewing
American Pale Ale,5.2,10.0,American-Style Pale Ale,Onopa Brewing
Nut Brown Ale,4.8,10.0,American-Style Brown Ale,Onopa Brewing
Oatmeal Stout,4.5,10.0,American-Style Stout,Onopa Brewing
Winter Porter,4.5,10.0,Porter,"City Brewing Company, LLC"
Pale Ale,5.5,10.0,American-Style Lager,"City Brewing Company, LLC"
Lager Beer,4.8,10.0,American-Style Lager,"City Brewing Company, LLC"
Porter,4.5,10.0,Porter,Catamount Brewing
Porter,4.5,10.0,Porter,Joshua Huddy's Brew Pub and Grill
Pale Ale,4.5,10.0,American-Style Pale Ale,Joshua Huddy's Brew Pub and Grill
Amber,4.5,10.0,American-Style Amber/Red Ale,Joshua Huddy's Brew Pub and Grill
Porter,4.5,10.0,Porter,Corner Pub
IPA,4.5,10.0,American-Style India Pale Ale,Corner Pub
Weizen,4.5,10.0,South German-Style Hefeweizen,Corner Pub
McBride Porter,4.5,10.0,Porter,Fitzpatrick's Brewing
Prairie Thunder Pale Ale,4.5,10.0,American-Style Pale Ale,Fitzpatrick's Brewing
Celtic Stout,4.5,10.0,American-Style Stout,Fitzpatrick's Brewing
Hawk Rye,4.5,10.0,American-Style Lager,Fitzpatrick's Brewing
Steelhead Scotch Porter,4.5,10.0,Porter,Mad River Brewing
Double India Pale Ale,8.6,10.0,American-Style Pale Ale,Mad River Brewing
Jamaica Brand Red Ale,4.5,10.0,American-Style Pale Ale,Mad River Brewing
Jamaica Brand Sunset IPA,4.5,10.0,American-Style India Pale Ale,Mad River Brewing
John Barleycorn Barleywine Style Ale,9.0,10.0,American-Style Barley Wine Ale,Mad River Brewing
Steelhead Extra Stout,4.5,10.0,American-Style Stout,Mad River Brewing
Promethean Porter,4.5,10.0,Porter,Bonfire Brewery
Alpenhof Baltic Porter,4.5,10.0,Porter,Ellicott Mills Brewing
Old Fort Porter,4.5,10.0,Porter,Mad Anthony Brewing
Red,4.5,10.0,American-Style Pale Ale,Mad Anthony Brewing
Old Woody Pale Ale,4.5,10.0,American-Style Pale Ale,Mad Anthony Brewing
Auburn,4.5,10.0,American-Style Pale Ale,Mad Anthony Brewing
Big Daddy Brown,4.5,10.0,American-Style Brown Ale,Mad Anthony Brewing
Harry Baals Stout,4.5,10.0,American-Style Stout,Mad Anthony Brewing
Lager,4.5,10.0,American-Style Lager,Mad Anthony Brewing
Wasatch Polygamy Porter,4.5,10.0,Porter,Utah Brewers Cooperative
Wasatch 1st Amendment Lager,4.0,10.0,American-Style Lager,Utah Brewers Cooperative
Snake Pit Porter,5.6,10.0,Porter,Oaken Barrel Brewing
Gnaw Bone Pale Ale,5.5,10.0,American-Style Pale Ale,Oaken Barrel Brewing
Indiana Amber,5.5,10.0,American-Style Amber/Red Ale,Oaken Barrel Brewing
Meridian Street Premium Lager,4.8,10.0,American-Style Lager,Oaken Barrel Brewing
Razz-Wheat,5.0,10.0,Light American Wheat Ale or Lager,Oaken Barrel Brewing
Porter From Hell,4.5,10.0,Porter,Illinois Brewing
Newmarket Pale Ale,4.5,10.0,American-Style Pale Ale,Illinois Brewing
Amber Plus,4.5,10.0,American-Style Amber/Red Ale,Illinois Brewing
Double Chocolate Porter,4.5,10.0,Porter,Stoney Creek Brewing Company
Penitentiary Porter,4.5,10.0,Porter,Mill Creek Brewpub
Old Redwood Porter,5.5,10.0,Porter,Third Street Ale Works
Black Chip Porter,4.5,10.0,Porter,"Main Street Station Casino, Brewery and Hotel"
Hibernator Doppelbock,4.5,10.0,Traditional German-Style Bock,"Main Street Station Casino, Brewery and Hotel"
Porter,4.5,10.0,Porter,Rivers Effortless Dining
Plaza Porter,4.5,10.0,Porter,Blue Corn Caf and Brewery - Albuquerque
Pig Iron Porter,4.5,10.0,Porter,Iron Hill Brewery - Newark
Wenceslas,4.5,10.0,Porter,Willoughby Brewing
Prohibition Porter,4.5,10.0,Porter,Capitol City Brewing #4
Peninsula Porter,4.5,10.0,Porter,Hereford & Hops Restaurant and Brewpub #1
Whitetail Ale,4.5,10.0,American-Style Pale Ale,Hereford & Hops Restaurant and Brewpub #1
Cleary Red,4.5,10.0,American-Style Amber/Red Ale,Hereford & Hops Restaurant and Brewpub #1
Stump Sitter Stout,4.5,10.0,American-Style Stout,Hereford & Hops Restaurant and Brewpub #1
Wolverine Wheat Beer,4.5,10.0,South German-Style Hefeweizen,Hereford & Hops Restaurant and Brewpub #1
Lichthaus Lager,4.5,10.0,American-Style Lager,Hereford & Hops Restaurant and Brewpub #1
Flying Armadillo Porter,4.5,10.0,Porter,Sweetwater Tavern - Centreville
High Desert Imperial Stout,4.5,10.0,American-Style Stout,Sweetwater Tavern - Centreville
T.P.H. Porter,4.5,10.0,Porter,Pumphouse Pizza and Brewing
Porter,4.5,10.0,Porter,Water Street Brewery
Pale Ale,4.5,10.0,American-Style Pale Ale,Water Street Brewery
Irish Red Ale,4.5,10.0,American-Style Amber/Red Ale,Water Street Brewery
Amber,4.5,10.0,American-Style Amber/Red Ale,Water Street Brewery
English Brown Ale,4.5,10.0,American-Style Brown Ale,Water Street Brewery
Bavarian Weiss Beer,4.5,10.0,South German-Style Hefeweizen,Water Street Brewery
Old World Oktoberfest,4.5,10.0,German-Style Oktoberfest,Water Street Brewery
Honey Lager Light,4.5,10.0,American-Style Lager,Water Street Brewery
Pils,4.5,10.0,American-Style Lager,Water Street Brewery
London Porter,4.5,10.0,Porter,Angelic Brewing
Bacchanal Blonde,4.5,10.0,American-Style Pale Ale,Angelic Brewing
Shakedown Nut Brown,4.5,10.0,American-Style Brown Ale,Angelic Brewing
Old Port Porter,4.5,10.0,Porter,Port Washington Brewing
Amber Ale,4.5,10.0,American-Style Amber/Red Ale,Port Washington Brewing
Post Washington Octoberfest,4.5,10.0,German-Style Oktoberfest,Port Washington Brewing
Transcendental Wheat Beer,4.5,10.0,American-Style Lager,Port Washington Brewing
Pier 96 Lager,4.5,10.0,American-Style Lager,Port Washington Brewing
Badger Porter,4.5,10.0,Porter,Wisconsin Brewing
Rainbow Red Ale,4.5,10.0,American-Style Amber/Red Ale,Wisconsin Brewing
Port Clinton Porter,4.5,10.0,Porter,Frontwaters Restaurant and Brewing
Palpitations Porter,4.5,10.0,Porter,Taylor Brewing
Prime I.P.A.,4.5,10.0,American-Style Pale Ale,Taylor Brewing
Very Pale Ale,4.5,10.0,American-Style Pale Ale,Taylor Brewing
Weisen,4.5,10.0,South German-Style Hefeweizen,Taylor Brewing
Dark Satin,4.5,10.0,German-Style Schwarzbier,Taylor Brewing
Blackbird Porter,4.5,10.0,Porter,Flagstaff Brewing
Bubbaganoush Pale Ale,4.5,10.0,American-Style Pale Ale,Flagstaff Brewing
Agassiz Amber,4.5,10.0,American-Style Amber/Red Ale,Flagstaff Brewing
Sasquatch Stout,4.5,10.0,American-Style Stout,Flagstaff Brewing
Dark,4.5,10.0,Porter,Red Kettle Brewing
Pale,4.5,10.0,American-Style Pale Ale,Red Kettle Brewing
Amber,4.5,10.0,American-Style Amber/Red Ale,Red Kettle Brewing
Coal Porter,4.5,10.0,Porter,Traffic Jam and Snug
Gold Rush Ale,4.5,10.0,American-Style Pale Ale,Traffic Jam and Snug
Limestone English Style Porter (discontinued),4.5,10.0,Porter,Alltech's Lexington Brewing Company
Kentucky Ale,4.5,10.0,American-Style Pale Ale,Alltech's Lexington Brewing Company
Limestone Crisp-Hoppy Pale Ale (discontinued),4.5,10.0,American-Style Pale Ale,Alltech's Lexington Brewing Company
Limestone 1897 Original Amber Ale (discontinued),4.5,10.0,American-Style Amber/Red Ale,Alltech's Lexington Brewing Company
Limestone Bavarian Style Bock (discontinued),4.5,10.0,Traditional German-Style Bock,Alltech's Lexington Brewing Company
Rosed Porter,4.5,10.0,Porter,Brew Makers
Organic Porter,4.5,10.0,Porter,Butte Creek Brewing
Blacksmith Porter,4.5,10.0,Porter,Nor'Wester Brewery and Public House
Honey Weizen,4.5,10.0,American-Style Lager,Nor'Wester Brewery and Public House
Hefe Weizen,4.5,10.0,American-Style Lager,Nor'Wester Brewery and Public House
Raspberry Weizen,4.5,10.0,Light American Wheat Ale or Lager,Nor'Wester Brewery and Public House
Texas Special 101 Porter,4.5,10.0,Porter,Hoffbrau Steaks Brewery #1
Buffalo Ale,4.5,10.0,American-Style Pale Ale,Hoffbrau Steaks Brewery #1
Rodeo Red,4.5,10.0,American-Style Pale Ale,Hoffbrau Steaks Brewery #1
Shawnee Amber Ale,4.5,10.0,American-Style Pale Ale,Hoffbrau Steaks Brewery #1
Windmill Wheat Ale,4.5,10.0,South German-Style Hefeweizen,Hoffbrau Steaks Brewery #1
Oktoberfest,4.5,10.0,German-Style Oktoberfest,Hoffbrau Steaks Brewery #1
Black Rock Bock,4.5,10.0,Traditional German-Style Bock,Hoffbrau Steaks Brewery #1
Yellow Rose Cream Ale,4.5,10.0,American-Style Lager,Hoffbrau Steaks Brewery #1
Porter,4.5,10.0,Porter,Emery Pub
Amber,4.5,10.0,American-Style Amber/Red Ale,Emery Pub
Porter,4.5,10.0,Porter,Triple Rock Brewery
Pale,4.5,10.0,American-Style Pale Ale,Triple Rock Brewery
Amber,4.5,10.0,American-Style Amber/Red Ale,Triple Rock Brewery
Pawn Shop Porter,5.7,10.0,Porter,Allentown Brew Works
Rude Elf's Reserve,14.55,10.0,Dark American-Belgo-Style Ale,Allentown Brew Works
Hop Explosion,7.0,10.0,American-Style India Pale Ale,Allentown Brew Works
Fegley's Amber Lager,5.2,10.0,American-Style Amber/Red Ale,Allentown Brew Works
Steelgaarden Wit,5.2,10.0,Belgian-Style White,Allentown Brew Works
Pig Pen Pilsener,4.7,10.0,German-Style Pilsener,Allentown Brew Works
Apricot Ale,5.4,10.0,Light American Wheat Ale or Lager,Allentown Brew Works
Pumpkin Ale,5.2,10.0,Pumpkin Beer,Allentown Brew Works
Stovepipe Porter,4.5,10.0,Porter,Otter Creek Brewing & Wolaver's Organic Ales
Otter Creek Imperial India Pale Ale,11.0,10.0,Imperial or Double India Pale Ale,Otter Creek Brewing & Wolaver's Organic Ales
Pale Ale,4.5,10.0,American-Style Amber/Red Ale,Otter Creek Brewing & Wolaver's Organic Ales
Copper Ale,4.5,10.0,American-Style Brown Ale,Otter Creek Brewing & Wolaver's Organic Ales
Otter Creek Russian Imperial Stout,14.56,10.0,American-Style Imperial Stout,Otter Creek Brewing & Wolaver's Organic Ales
White Sail,4.5,10.0,Belgian-Style White,Otter Creek Brewing & Wolaver's Organic Ales
Oktoberfest,4.5,10.0,German-Style Oktoberfest,Otter Creek Brewing & Wolaver's Organic Ales
Vermont Lager,4.5,10.0,American-Style Lager,Otter Creek Brewing & Wolaver's Organic Ales
Peninsula Porter,5.0,10.0,Porter,Michigan Brewing
Wheatland Wheat,5.0,10.0,American-Style Pale Ale,Michigan Brewing
Sebewaing Beer,5.0,10.0,American-Style Pale Ale,Michigan Brewing
High Seas IPA,7.0,10.0,American-Style India Pale Ale,Michigan Brewing
Nut Brown Ale,5.0,10.0,American-Style Brown Ale,Michigan Brewing
Bavarian Dark,4.0,10.0,American-Style Brown Ale,Michigan Brewing
Superior Stout,5.2,10.0,American-Style Stout,Michigan Brewing
Celis White,3.9,10.0,Other Belgian-Style Ales,Michigan Brewing
Celis Raspberry,3.9,10.0,Other Belgian-Style Ales,Michigan Brewing
Celis Pale Bock,3.9,10.0,Other Belgian-Style Ales,Michigan Brewing
Celis Grand Cru,7.6,10.0,Other Belgian-Style Ales,Michigan Brewing
Sunset Amber Lager,5.0,10.0,American-Style Lager,Michigan Brewing
Big Mac,5.0,10.0,American-Style Lager,Michigan Brewing
Hamtramck,4.0,10.0,American-Style Lager,Michigan Brewing
Golden Pheasant,4.0,10.0,American-Style Lager,Michigan Brewing
Patriot Porter,4.5,10.0,Porter,Liberty Steakhouse and Brewery
Liberty Pale Ale,4.5,10.0,American-Style Pale Ale,Liberty Steakhouse and Brewery
Rocket's Red Ale,6.0,10.0,American-Style Amber/Red Ale,Liberty Steakhouse and Brewery
Amber Waves,4.5,10.0,American-Style Amber/Red Ale,Liberty Steakhouse and Brewery
Liberty Nut Brown Ale,4.5,10.0,American-Style Brown Ale,Liberty Steakhouse and Brewery
Liberty White Ale,4.5,10.0,Belgian-Style White,Liberty Steakhouse and Brewery
Miss Liberty Lager,4.5,10.0,American-Style Lager,Liberty Steakhouse and Brewery
Liberty Unfiltered Wheat Ale,4.5,10.0,Light American Wheat Ale or Lager,Liberty Steakhouse and Brewery
Liberty Raspberry Wheat Ale,4.5,10.0,Fruit Beer,Liberty Steakhouse and Brewery
Hellsmoke Porter,5.7,10.0,Porter,The Blind Bat Brewery LLC
Long Island Potato Stout,3.9,10.0,American-Style Stout,The Blind Bat Brewery LLC
Wheatley Hills Weizenbock,7.5,10.0,South German-Style Hefeweizen,The Blind Bat Brewery LLC
Harborfields HefeWeizen,4.5,10.0,South German-Style Hefeweizen,The Blind Bat Brewery LLC
Old Walt Smoked Wit,5.0,10.0,Belgian-Style White,The Blind Bat Brewery LLC
Estes Park Porter,4.6,10.0,Porter,Estes Park Brewery
Renegade IPA,5.8,10.0,American-Style India Pale Ale,Estes Park Brewery
Trail Ridge Red,4.5,10.0,American-Style Amber/Red Ale,Estes Park Brewery
Estes Park Gold,4.2,10.0,Golden or Blonde Ale,Estes Park Brewery
Samson Stout,5.0,10.0,American-Style Stout,Estes Park Brewery
Staggering Elk,4.5,10.0,American-Style Lager,Estes Park Brewery
Stinger Wild Honey Wheat,6.0,10.0,Light American Wheat Ale or Lager,Estes Park Brewery
Long's Peak Raspberry Wheat,4.2,10.0,Fruit Beer,Estes Park Brewery
Potbelly Porter,4.5,10.0,Porter,Copper Kettle Brewery
Eislin Dubbel,8.0,10.0,Belgian-Style Dubbel,Copper Kettle Brewery
Lucky 393 Grand Cru,4.5,10.0,Belgian-Style Dark Strong Ale,Copper Kettle Brewery
Celebration Wheat,4.5,10.0,Light American Wheat Ale or Lager,Copper Kettle Brewery
Exodus Porter,4.5,10.0,Porter,Sweetwater Brewing - Atlanta
420 Extra Pale Ale,5.4,10.0,American-Style Pale Ale,Sweetwater Brewing - Atlanta
Georgia Brown,5.1,10.0,American-Style Brown Ale,Sweetwater Brewing - Atlanta
Hummer,5.1,10.0,Belgian-Style White,Sweetwater Brewing - Atlanta
Blue,4.9,10.0,Fruit Beer,Sweetwater Brewing - Atlanta
Red Brick Double Chocolate Oatmeal Porter,7.7,10.0,Porter,Atlanta Brewing Company
(512) Pecan Porter,6.8,10.0,Porter,(512) Brewing Company
(512) Whiskey Barrel Aged Double Pecan Porter,8.2,10.0,Porter,(512) Brewing Company
(512) Pale,5.8,10.0,American-Style Pale Ale,(512) Brewing Company
(512) IPA,7.0,10.0,American-Style India Pale Ale,(512) Brewing Company
(512) Bruin,7.6,10.0,American-Style Brown Ale,(512) Brewing Company
(512) ALT,6.0,10.0,German-Style Brown Ale/Altbier,(512) Brewing Company
One,8.0,10.0,Belgian-Style Pale Strong Ale,(512) Brewing Company
(512) Wit,5.2,10.0,Belgian-Style White,(512) Brewing Company
Captin Lawrence Smoked Porter,6.4,10.0,Porter,Captain Lawrence Brewing Company
Captin Lawrence Pale Ale,5.6,10.0,American-Style Pale Ale,Captain Lawrence Brewing Company
Captain's Reserve Imperial IPA,9.0,10.0,Imperial or Double India Pale Ale,Captain Lawrence Brewing Company
Brown Bird Brown Ale,4.8,10.0,American-Style Brown Ale,Captain Lawrence Brewing Company
Captain Lawrence Xtra Gold,14.5,10.0,Belgian-Style Tripel,Captain Lawrence Brewing Company
Golden Delicious,4.5,10.0,Belgian-Style Tripel,Captain Lawrence Brewing Company
Captin Lawrence Liquid Gold,6.0,10.0,Belgian-Style Pale Ale,Captain Lawrence Brewing Company
Nor' Easter,12.0,10.0,Belgian-Style Dark Strong Ale,Captain Lawrence Brewing Company
Sun Block - Belgian Style Witte,4.5,10.0,Belgian-Style White,Captain Lawrence Brewing Company
American Pale Ale,4.5,10.0,American-Style Pale Ale,Spanish Peaks Brewing
Black Dog Yellowstone Ale,4.5,10.0,American-Style Pale Ale,Spanish Peaks Brewing
Winter Cheer,4.5,10.0,American-Style Brown Ale,Spanish Peaks Brewing
Peaches and Cream,4.5,10.0,Light American Wheat Ale or Lager,Spanish Peaks Brewing
Riot Ale,7.5,10.0,American-Style Pale Ale,Elliott Bay Brewery and Pub
Alembic Pale,5.5,10.0,American-Style Pale Ale,Elliott Bay Brewery and Pub
Dry Hopped IPA,4.5,10.0,American-Style India Pale Ale,Elliott Bay Brewery and Pub
IPA,5.5,10.0,American-Style India Pale Ale,Elliott Bay Brewery and Pub
No Doubt Stout,5.75,10.0,American-Style Stout,Elliott Bay Brewery and Pub
Luna Weizen,4.5,10.0,American-Style Lager,Elliott Bay Brewery and Pub
Impale Ale,4.5,10.0,American-Style Pale Ale,Silverado Brewing
Pale,4.5,10.0,American-Style Pale Ale,Left Coast Brewing
Hop Juice Double IPA,9.4,10.0,Imperial or Double India Pale Ale,Left Coast Brewing
Superhop Ale,5.6,10.0,American-Style Pale Ale,Barley Creek Brewing
Rescue IPA,4.5,10.0,American-Style India Pale Ale,Barley Creek Brewing
Old '99 Barley Wine,11.0,10.0,American-Style Barley Wine Ale,Barley Creek Brewing
Navigator Golden Ale,4.5,10.0,Golden or Blonde Ale,Barley Creek Brewing
Antler Brown Ale,4.8,10.0,American-Style Brown Ale,Barley Creek Brewing
Iron Arm Belgian Style Wheat,4.5,10.0,Belgian-Style White,Barley Creek Brewing
Angler Black Lager,4.5,10.0,German-Style Schwarzbier,Barley Creek Brewing
Mountaineer Maibock,4.5,10.0,German-Style Heller Bock/Maibock,Barley Creek Brewing
Cliffhanger Light Ale,3.22,10.0,American-Style Light Lager,Barley Creek Brewing
Tannhauser,4.5,10.0,American-Style Pale Ale,Augusta Brewing
Pale Ale,4.5,10.0,American-Style Pale Ale,Taylor's Restaurant and Brewery
Amber Ale,4.5,10.0,American-Style Amber/Red Ale,Taylor's Restaurant and Brewery
Nut Brown,4.5,10.0,American-Style Brown Ale,Taylor's Restaurant and Brewery
Hefeweizen,7.5,10.0,South German-Style Weizenbock,Taylor's Restaurant and Brewery
Paradise Pale Ale,4.8,10.0,American-Style Pale Ale,Oggi's Pizza and Brewing - Vista
Ding Ding Double IPA,4.5,10.0,American-Style India Pale Ale,Oggi's Pizza and Brewing - Vista
