beer,abv,ibu,style,brewery
Bee Sting Honey Ale,5.9,10.0,American-Style Pale Ale,Great Divide Brewing
Hercules Double IPA,9.1,10.0,American-Style India Pale Ale,Great Divide Brewing
Titan IPA,6.8,10.0,American-Style India Pale Ale,Great Divide Brewing
Ridgeline Amber,5.4,10.0,American-Style Amber/Red Ale,Great Divide Brewing
Old Ruffian,14.52,10.0,American-Style Barley Wine Ale,Great Divide Brewing
Yeti Imperial Stout,9.5,10.0,American-Style Imperial Stout,Great Divide Brewing
Oak Aged Yeti Imperial Stout,9.5,10.0,American-Style Imperial Stout,Great Divide Brewing
Espresso Oak Aged Yeti,9.5,10.0,American-Style Imperial Stout,Great Divide Brewing
Hades,7.3,10.0,Belgian-Style Pale Strong Ale,Great Divide Brewing
Great Divide Belgica,7.2,10.0,Other Belgian-Style Ales,Great Divide Brewing
Great Divide Saison,7.3,10.0,French & Belgian-Style Saison,Great Divide Brewing
Wild Raspberry Ale,5.6,10.0,Fruit Beer,Great Divide Brewing
Crystal Ale,4.5,10.0,Undefined-Ignore,Big Sky Brewing
Powder Hound Winter Ale,4.5,10.0,Old Ale,Big Sky Brewing
Moose Drool Brown Ale,5.3,10.0,Porter,Big Sky Brewing
Scape Goat Pale Ale,4.7,10.0,American-Style Pale Ale,Big Sky Brewing
IPA,4.5,10.0,American-Style India Pale Ale,Big Sky Brewing
Summer Honey Seasonal Ale,4.5,10.0,American-Style Lager,Big Sky Brewing
Trout Slayer,4.7,10.0,Light American Wheat Ale or Lager,Big Sky Brewing
Coney Island Lager,4.5,10.0,Undefined-Ignore,Shmaltz Enterprises
Old Bawdy 2006,14.5,10.0,Undefined-Ignore,Pike Pub and Brewery
Auld Acquaintance Spiced Ale,4.5,10.0,Undefined-Ignore,Pike Pub and Brewery
Kilt Lifter Scotch Ale,4.5,10.0,Scotch Ale,Pike Pub and Brewery
India Pale Ale,4.5,10.0,American-Style Pale Ale,Pike Pub and Brewery
Pale Ale,4.5,10.0,American-Style Pale Ale,Pike Pub and Brewery
Oatmeal Stout,4.5,10.0,American-Style Stout,Pike Pub and Brewery
XXXXX Stout,4.5,10.0,American-Style Stout,Pike Pub and Brewery
Weisse,4.5,10.0,American-Style Lager,Pike Pub and Brewery
Certified Organic Extra Pale Ale,4.5,10.0,Undefined-Ignore,Eel River Brewing
Climax California Classic,5.0,10.0,Undefined-Ignore,Eel River Brewing
Triple Exultation Old Ale,9.7,10.0,Old Ale,Eel River Brewing
Certified Organic Porter,5.5,10.0,Porter,Eel River Brewing
Certified Organic India Pale Ale,7.0,10.0,American-Style Pale Ale,Eel River Brewing
Certified Organic Amber Ale,4.8,10.0,American-Style Amber/Red Ale,Eel River Brewing
Farm House Ale,6.7,10.0,Undefined-Ignore,Jack Russell Brewing
Best Bitter Ale,4.5,10.0,Undefined-Ignore,Jack Russell Brewing
Vertical Epic 07.07.07,8.4,10.0,Undefined-Ignore,Stone Brewing Co.
Old Guardian Barley Wine 2007,11.26,10.0,Undefined-Ignore,Stone Brewing Co.
Vertical Epic 05.05.05,8.5,10.0,Undefined-Ignore,Stone Brewing Co.
Old Guardian Barley Wine 2005,4.5,10.0,Undefined-Ignore,Stone Brewing Co.
2004 Symposium Ale,7.5,10.0,Undefined-Ignore,Stone Brewing Co.
Vertical Epic 04.04.04,8.5,10.0,Undefined-Ignore,Stone Brewing Co.
Old Guardian Barley Wine 2003,9.91,10.0,Undefined-Ignore,Stone Brewing Co.
Vertical Epic 06.06.06,4.5,10.0,Undefined-Ignore,Stone Brewing Co.
