beer,abv,ibu,style,brewery,city,state
Hop Pocket Ale,4.5,10.0,American-Style Pale Ale,Tuppers Hop Pocket Ale,Bethesda,Maryland
Pale Ale,4.5,10.0,American-Style Pale Ale,Oasis Brewery and Restaurant,Boulder,Colorado
Cat Tail Pale Ale,4.5,10.0,American-Style Pale Ale,Backwater Brewing,Winona,Minnesota
Wingdam Wheat,4.5,10.0,South German-Style Hefeweizen,Backwater Brewing,Winona,Minnesota
Pale Ale,4.5,10.0,American-Style Pale Ale,Onion Pub & Brewery,Lake Barrington,Illinois
Pale Ale,4.5,10.0,American-Style Pale Ale,Bent River Brewing,Moline,Illinois
Salmon Tail Pale Ale,4.5,10.0,American-Style Pale Ale,Duneland Brewhouse Pub and Restaurant,Michigan City,Indiana
Third Coast Ale,4.5,10.0,American-Style Pale Ale,Kalamazoo Brewing,Kalamazoo,Michigan
Two-Hearted Ale,4.5,10.0,American-Style Pale Ale,Kalamazoo Brewing,Kalamazoo,Michigan
Great Lakes Amber Ale,4.5,10.0,American-Style Amber/Red Ale,Kalamazoo Brewing,Kalamazoo,Michigan
Premium Ale,4.5,10.0,American-Style Pale Ale,Lake Louie Brewing,Arena,Wisconsin
Pale Pale Boss Ale,4.8,10.0,American-Style Pale Ale,Upper Mississippi Brewing,Clinton,Iowa
Mullin Brown,4.8,10.0,American-Style Brown Ale,Upper Mississippi Brewing,Clinton,Iowa
Mudcat Stout,4.5,10.0,American-Style Stout,Upper Mississippi Brewing,Clinton,Iowa
Hefeweizen,4.2,10.0,South German-Style Hefeweizen,Upper Mississippi Brewing,Clinton,Iowa
Bartles and Lager,4.0,10.0,American-Style Lager,Upper Mississippi Brewing,Clinton,Iowa
Pantown Pale Ale,4.5,10.0,American-Style Pale Ale,O'Hara's Brewpub and Restaurant,Saint Cloud,Minnesota
Quarry Rock Red,4.5,10.0,American-Style Amber/Red Ale,O'Hara's Brewpub and Restaurant,Saint Cloud,Minnesota
Golden Honey Wheat,4.5,10.0,American-Style Lager,O'Hara's Brewpub and Restaurant,Saint Cloud,Minnesota
Red Rooster Pale Ale,4.5,10.0,American-Style Pale Ale,Copper Eagle Brewing,Grand Island,Nebraska
Copper Wheat,4.5,10.0,American-Style Pale Ale,Copper Eagle Brewing,Grand Island,Nebraska
Guinea Pig Amber Ale,4.5,10.0,American-Style Amber/Red Ale,Copper Eagle Brewing,Grand Island,Nebraska
Tornado Ale,4.5,10.0,American-Style Pale Ale,Olde Peninsula Brewpub and Restaurant,Kalamazoo,Michigan
Haymarket Ale,4.5,10.0,American-Style Pale Ale,Olde Peninsula Brewpub and Restaurant,Kalamazoo,Michigan
India Pale Ale,4.5,10.0,American-Style Pale Ale,Olde Peninsula Brewpub and Restaurant,Kalamazoo,Michigan
"1,2,3 Ale",4.5,10.0,American-Style Amber/Red Ale,Olde Peninsula Brewpub and Restaurant,Kalamazoo,Michigan
Sunset Red,4.5,10.0,American-Style Amber/Red Ale,Olde Peninsula Brewpub and Restaurant,Kalamazoo,Michigan
Double Cream Oatmeal Stout,4.5,10.0,American-Style Stout,Olde Peninsula Brewpub and Restaurant,Kalamazoo,Michigan
Midnight Stout,4.5,10.0,American-Style Stout,Olde Peninsula Brewpub and Restaurant,Kalamazoo,Michigan
Winter Wheat,4.5,10.0,American-Style Lager,Olde Peninsula Brewpub and Restaurant,Kalamazoo,Michigan
Frostbite,4.5,10.0,American-Style Pale Ale,Southend Brewery and Smokehouse - Charleston,Charleston,South Carolina
Bombay Pale Ale,4.5,10.0,American-Style Pale Ale,Southend Brewery and Smokehouse - Charleston,Charleston,South Carolina
Scarlet Ale,4.5,10.0,American-Style Amber/Red Ale,Southend Brewery and Smokehouse - Charleston,Charleston,South Carolina
East Bay Brown,4.5,10.0,American-Style Brown Ale,Southend Brewery and Smokehouse - Charleston,Charleston,South Carolina
Ruby Red Lager,4.5,10.0,American-Style Lager,Southend Brewery and Smokehouse - Charleston,Charleston,South Carolina
Ironman Wheat,4.5,10.0,American-Style Lager,Southend Brewery and Smokehouse - Charleston,Charleston,South Carolina
Blonde,4.5,10.0,American-Style Lager,Southend Brewery and Smokehouse - Charleston,Charleston,South Carolina
Blonde Light,4.5,10.0,American-Style Lager,Southend Brewery and Smokehouse - Charleston,Charleston,South Carolina
Pale Ale,4.5,10.0,American-Style Pale Ale,Randy's Fun Hunters Brewery Restaurant and Banquet Center,Whitewater,Wisconsin
Oatmeal Stout,4.5,10.0,American-Style Stout,Randy's Fun Hunters Brewery Restaurant and Banquet Center,Whitewater,Wisconsin
Amber Lager,4.5,10.0,American-Style Lager,Randy's Fun Hunters Brewery Restaurant and Banquet Center,Whitewater,Wisconsin
Wheat Ale,4.5,10.0,American-Style Lager,Randy's Fun Hunters Brewery Restaurant and Banquet Center,Whitewater,Wisconsin
Liberty Pale Ale,4.5,10.0,American-Style Pale Ale,Grumpy Troll Restaurant and Brewery,Mount Horeb,Wisconsin
2nd Street Amber,4.5,10.0,American-Style Amber/Red Ale,Grumpy Troll Restaurant and Brewery,Mount Horeb,Wisconsin
How Now,4.5,10.0,American-Style Brown Ale,Grumpy Troll Restaurant and Brewery,Mount Horeb,Wisconsin
Grumpy Two,4.5,10.0,American-Style Stout,Grumpy Troll Restaurant and Brewery,Mount Horeb,Wisconsin
Trailside Wheat,4.5,10.0,South German-Style Hefeweizen,Grumpy Troll Restaurant and Brewery,Mount Horeb,Wisconsin
Rye Bock,4.5,10.0,Traditional German-Style Bock,Grumpy Troll Restaurant and Brewery,Mount Horeb,Wisconsin
Lager,4.5,10.0,American-Style Lager,Grumpy Troll Restaurant and Brewery,Mount Horeb,Wisconsin
Anniversary Ale,4.5,10.0,American-Style Pale Ale,Charlie and Jake's Brewery and BBQ,Melbourne,Florida
Pacific Pale,4.5,10.0,American-Style Pale Ale,Santa Barbara Brewing,Santa Barbara,California
India Pale Ale,4.5,10.0,American-Style Pale Ale,Tenaya Creek Restaurant and Brewery,Las Vegas,Nevada
Jackpot Pale,4.5,10.0,American-Style Pale Ale,Monte Carlo Casino and Brewpub,Las Vegas,Nevada
Hard Woods Pale,4.5,10.0,American-Style Pale Ale,PH Woods Diner and Brewery,Moreno Valley,California
Pale,4.5,10.0,American-Style Pale Ale,Coastal Fog Brewing,Concord,California
Hefeweizen,4.5,10.0,South German-Style Hefeweizen,Coastal Fog Brewing,Concord,California
Brandenburg Gate Mí_rzen,4.5,10.0,German-Style Oktoberfest,Coastal Fog Brewing,Concord,California
Blind Side Pale Ale,4.5,10.0,American-Style Pale Ale,Blicks Brewing,Colorado Springs,Colorado
Pale Ale,5.52,10.0,American-Style Pale Ale,New River Brewing,Atlanta,Georgia
Lucknow India Pale Ale,4.5,10.0,American-Style Pale Ale,Castle Springs Brewery,Moultonborough,New Hampshire
Thunder Pup Pale,4.5,10.0,American-Style Pale Ale,Lightning Boy Brewery,Belgrade,Montana
Red Earth Pale Ale,4.5,10.0,American-Style Pale Ale,Jasper Ridge Brewery,Ishpeming,Michigan
Jasper Lyte,4.5,10.0,American-Style Pale Ale,Jasper Ridge Brewery,Ishpeming,Michigan
Iron Red Ale,4.5,10.0,American-Style Amber/Red Ale,Jasper Ridge Brewery,Ishpeming,Michigan
Jasper Brown Ale,4.5,10.0,American-Style Brown Ale,Jasper Ridge Brewery,Ishpeming,Michigan
Kirkland Ale,4.5,10.0,American-Style Pale Ale,Northwest Brewwrks,Kirkland,Washington
Pale Ale,4.5,10.0,American-Style Pale Ale,Keg Microbrewery & Restaurant,Stevens Point,Wisconsin
Brown,4.5,10.0,American-Style Brown Ale,Keg Microbrewery & Restaurant,Stevens Point,Wisconsin
Stout,4.5,10.0,American-Style Stout,Keg Microbrewery & Restaurant,Stevens Point,Wisconsin
Wheat,4.5,10.0,American-Style Lager,Keg Microbrewery & Restaurant,Stevens Point,Wisconsin
Pale,4.5,10.0,American-Style Pale Ale,Glacial Lakes Brewing,New York Mills,Minnesota
Red,4.5,10.0,American-Style Amber/Red Ale,Glacial Lakes Brewing,New York Mills,Minnesota
Pale Ale,4.5,10.0,American-Style Pale Ale,Orchard Street Brewery,Bellingham,Washington
Iowa Pale Ale,5.0,10.0,American-Style Pale Ale,Stone City Brewing,Solon,Iowa
Artist Colony Ale,5.5,10.0,American-Style Amber/Red Ale,Stone City Brewing,Solon,Iowa
Stein Bock,4.5,10.0,Traditional German-Style Bock,Stone City Brewing,Solon,Iowa
Hop-Stuffed Pale Ale,4.5,10.0,American-Style Pale Ale,Bibiana Brewing,Urbana,Illinois
Wild West Beer,4.5,10.0,American-Style Pale Ale,Kessler Brewing,Helena,Montana
Doppelbock,6.8,10.0,Traditional German-Style Bock,Kessler Brewing,Helena,Montana
Midnight Star Ale,4.5,10.0,American-Style Pale Ale,Sioux Falls Brewing,Sioux Falls,South Dakota
Ringneck Red Ale,4.5,10.0,American-Style Amber/Red Ale,Sioux Falls Brewing,Sioux Falls,South Dakota
Buffalo Stout,4.5,10.0,American-Style Stout,Sioux Falls Brewing,Sioux Falls,South Dakota
Canary Wheat,4.5,10.0,South German-Style Hefeweizen,Sioux Falls Brewing,Sioux Falls,South Dakota
Paddy Pale Ale,4.5,10.0,American-Style Pale Ale,Wild Onion Brewing,Lake Barrington,Illinois
Jack Stout,4.5,10.0,American-Style Stout,Wild Onion Brewing,Lake Barrington,Illinois
Hidden River Red Ale,4.5,10.0,American-Style Pale Ale,Founders Hill Brewing,Downers Grove,Illinois
Founders Light,4.5,10.0,American-Style Pale Ale,Founders Hill Brewing,Downers Grove,Illinois
Blacksmith Stout,4.5,10.0,American-Style Stout,Founders Hill Brewing,Downers Grove,Illinois
Blackburn Doppelbock,7.9,10.0,Traditional German-Style Bock,Founders Hill Brewing,Downers Grove,Illinois
Maibock,4.5,10.0,Traditional German-Style Bock,Founders Hill Brewing,Downers Grove,Illinois
Heritage Wheat,4.5,10.0,American-Style Lager,Founders Hill Brewing,Downers Grove,Illinois
Independence Ale,4.5,10.0,American-Style Pale Ale,Kelmer's Brewhouse,Santa Rosa,California
Klassic,4.5,10.0,American-Style Pale Ale,Kelmer's Brewhouse,Santa Rosa,California
Klout,4.5,10.0,American-Style Stout,Kelmer's Brewhouse,Santa Rosa,California
Krystal,4.5,10.0,American-Style Lager,Kelmer's Brewhouse,Santa Rosa,California
VHB,4.5,10.0,American-Style Pale Ale,St. Stan's Brewing Co.,Modesto,California
Classic Pale Ale,4.5,10.0,American-Style Pale Ale,Steve and Clark's Brew Pub and Sausage Co. #2,Durham,North Carolina
Northwest Pale Ale,4.5,10.0,American-Style Pale Ale,Steve and Clark's Brew Pub and Sausage Co. #2,Durham,North Carolina
Melon Head Red,4.5,10.0,American-Style Amber/Red Ale,Steve and Clark's Brew Pub and Sausage Co. #2,Durham,North Carolina
Bull Town Brown,4.5,10.0,American-Style Brown Ale,Steve and Clark's Brew Pub and Sausage Co. #2,Durham,North Carolina
Satin Stout,4.5,10.0,American-Style Stout,Steve and Clark's Brew Pub and Sausage Co. #2,Durham,North Carolina
Hefeweizen,4.5,10.0,South German-Style Hefeweizen,Steve and Clark's Brew Pub and Sausage Co. #2,Durham,North Carolina
Honey Wheat,4.5,10.0,American-Style Lager,Steve and Clark's Brew Pub and Sausage Co. #2,Durham,North Carolina
Rhubarb,4.5,10.0,Light American Wheat Ale or Lager,Steve and Clark's Brew Pub and Sausage Co. #2,Durham,North Carolina
Apricot,4.5,10.0,Light American Wheat Ale or Lager,Steve and Clark's Brew Pub and Sausage Co. #2,Durham,North Carolina
Tornado Ale,4.5,10.0,American-Style Pale Ale,Pony Express Brewing,Olathe,Kansas
Boulder Creek Pale Ale,4.5,10.0,American-Style Pale Ale,Rock Bottom Restaurant & Brewery - San Jose,Campbell,California
Raccoon Red Ale,4.5,10.0,American-Style Amber/Red Ale,Rock Bottom Restaurant & Brewery - San Jose,Campbell,California
Brown Bear Brown Ale,4.5,10.0,American-Style Brown Ale,Rock Bottom Restaurant & Brewery - San Jose,Campbell,California
Stillwater Stout,4.5,10.0,American-Style Stout,Rock Bottom Restaurant & Brewery - San Jose,Campbell,California
Pilsner,4.5,10.0,American-Style Lager,Rock Bottom Restaurant & Brewery - San Jose,Campbell,California
Faller Wheat,4.5,10.0,American-Style Lager,Rock Bottom Restaurant & Brewery - San Jose,Campbell,California
Hammerhead Red,4.5,10.0,American-Style Pale Ale,Grizzly Bay Brewing,Suisun City,California
Stout,4.5,10.0,American-Style Stout,Grizzly Bay Brewing,Suisun City,California
Weizen,4.5,10.0,American-Style Lager,Grizzly Bay Brewing,Suisun City,California
Anchorage Ale,4.5,10.0,American-Style Pale Ale,Silver Gulch Brewing Company,Fox,Alaska
Old 55 Pale Ale,4.5,10.0,American-Style Pale Ale,Silver Gulch Brewing Company,Fox,Alaska
Independence Ale,6.7,10.0,American-Style Pale Ale,Brewpub-on-the-Green,Fremont,California
Pale Ale,4.5,10.0,American-Style Pale Ale,Hubcap Brewery and Kitchen,Vail,Colorado
Beaver Tail Brown Ale,4.5,10.0,American-Style Brown Ale,Hubcap Brewery and Kitchen,Vail,Colorado
Rainbow Trout Stout,4.5,10.0,American-Style Stout,Hubcap Brewery and Kitchen,Vail,Colorado
Overcast Ale,4.5,10.0,American-Style Pale Ale,Roffey Brewery,Holland,Michigan
Lake Effect Stout,4.5,10.0,American-Style Stout,Roffey Brewery,Holland,Michigan
Kenziger,4.5,10.0,American-Style Pale Ale,Philadelphia Brewing Co,Philadelphia,Pennsylvania
Newbold IPA,6.5,10.0,American-Style India Pale Ale,Philadelphia Brewing Co,Philadelphia,Pennsylvania
Walt Wit,5.0,10.0,Belgian-Style White,Philadelphia Brewing Co,Philadelphia,Pennsylvania
Rowhouse Red,5.0,10.0,French & Belgian-Style Saison,Philadelphia Brewing Co,Philadelphia,Pennsylvania
Colonel Paris Pale Ale,4.5,10.0,American-Style Pale Ale,Blue Ridge Brewing,Greenville,South Carolina
CH-47 Pale Ale,5.0,10.0,American-Style Pale Ale,Bethlehem Brew Works,Bethlehem,Pennsylvania
Arc Weld Alt,5.3,10.0,German-Style Brown Ale/Altbier,Bethlehem Brew Works,Bethlehem,Pennsylvania
Cassis Reserve Lambic í¢äåì06,6.5,10.0,Belgian-Style Fruit Lambic,Bethlehem Brew Works,Bethlehem,Pennsylvania
Pale Ale,4.5,10.0,American-Style Pale Ale,Palmetto Brewing,Charleston,South Carolina
Avenue Ale,4.1,10.0,American-Style Pale Ale,White Marsh Brewing Company,White Marsh,Maryland
Cumberland Pale Ale,4.6,10.0,American-Style Pale Ale,Barrel House Brewing Co.,Cincinnati,Ohio
RedLegg Ale,4.9,10.0,American-Style Amber/Red Ale,Barrel House Brewing Co.,Cincinnati,Ohio
Duveneck's Dortmunder,4.5,10.0,American-Style Lager,Barrel House Brewing Co.,Cincinnati,Ohio
Big Buck Beer,5.2,10.0,American-Style Pale Ale,Big Buck Brewery,Gaylord,Michigan
Buck Naked,3.2,10.0,American-Style Light Lager,Big Buck Brewery,Gaylord,Michigan
Raspberry Wheat,4.8,10.0,Light American Wheat Ale or Lager,Big Buck Brewery,Gaylord,Michigan
Patchway Pale Ale,5.5,10.0,American-Style Pale Ale,Marzoni's Brick Oven & Brewing Co,Duncansville,Pennsylvania
Avalanche IPA,6.9,10.0,American-Style India Pale Ale,Marzoni's Brick Oven & Brewing Co,Duncansville,Pennsylvania
Marzoni's Amber Lager,6.1,10.0,American-Style Amber/Red Ale,Marzoni's Brick Oven & Brewing Co,Duncansville,Pennsylvania
Stone Mason Stout,6.1,10.0,American-Style Stout,Marzoni's Brick Oven & Brewing Co,Duncansville,Pennsylvania
Locke Mountain Light,3.7,10.0,American-Style Light Lager,Marzoni's Brick Oven & Brewing Co,Duncansville,Pennsylvania
Highway 22 Wheat,4.7,10.0,Light American Wheat Ale or Lager,Marzoni's Brick Oven & Brewing Co,Duncansville,Pennsylvania
Canvas Back American Pale Ale,4.5,10.0,American-Style Pale Ale,Red Star Brewery & Grille,Greensburg,Pennsylvania
Strawberry Honey Amber Ale,4.5,10.0,American-Style Amber/Red Ale,Red Star Brewery & Grille,Greensburg,Pennsylvania
Iron Horse Stout,4.5,10.0,American-Style Stout,Red Star Brewery & Grille,Greensburg,Pennsylvania
Red Star Pilsner,4.5,10.0,German-Style Pilsener,Red Star Brewery & Grille,Greensburg,Pennsylvania
Greensburg Lager,4.5,10.0,American-Style Lager,Red Star Brewery & Grille,Greensburg,Pennsylvania
Golden Light,4.5,10.0,American-Style Light Lager,Red Star Brewery & Grille,Greensburg,Pennsylvania
Angry Planet Pale Ale,6.1,10.0,American-Style Pale Ale,Flat Earth Brewing Company,St. Paul,Minnesota
Flat Earth Belgian-style Pale Ale,5.2,10.0,Belgian-Style Pale Ale,Flat Earth Brewing Company,St. Paul,Minnesota
Lift Bridge Pale Ale,5.5,10.0,American-Style Pale Ale,Lift Bridge Brewery,Stillwater,Minnesota
Harvestí_r Fresh Hop Ale,7.2,10.0,American-Style Pale Ale,Lift Bridge Brewery,Stillwater,Minnesota
Biscotti,7.0,10.0,Belgian-Style Dark Strong Ale,Lift Bridge Brewery,Stillwater,Minnesota
Farm Girl Saison,6.0,10.0,French & Belgian-Style Saison,Lift Bridge Brewery,Stillwater,Minnesota
Live Oak Pale Ale,4.5,10.0,American-Style Pale Ale,Live Oak Brewing,Austin,Texas
Liberation Ale,6.0,10.0,American-Style India Pale Ale,Live Oak Brewing,Austin,Texas
Live Oak Hefeweizen,4.5,10.0,South German-Style Hefeweizen,Live Oak Brewing,Austin,Texas
Live Oak Pilz,4.5,10.0,German-Style Pilsener,Live Oak Brewing,Austin,Texas
Oaktoberfest,4.5,10.0,German-Style Oktoberfest,Live Oak Brewing,Austin,Texas
Big Bark Amber Lager,4.5,10.0,American-Style Lager,Live Oak Brewing,Austin,Texas
Burning Bird Pale Ale,4.8,10.0,American-Style Pale Ale,Sonoran Brewing Company,Scottsdale,Arizona
Victorian IPA,6.2,10.0,American-Style India Pale Ale,Sonoran Brewing Company,Scottsdale,Arizona
Firestole Pale 31,4.6,10.0,American-Style Pale Ale,Firestone Walker Brewing Company,Paso Robles,California
Union Jack India Pale Ale,7.5,10.0,American-Style India Pale Ale,Firestone Walker Brewing Company,Paso Robles,California
Double Barrel Ale,5.0,10.0,American-Style Amber/Red Ale,Firestone Walker Brewing Company,Paso Robles,California
Orlando Blonde Ale,4.5,10.0,American-Style Pale Ale,Orlando Brewing,Orlando,Florida
Orange Blossom Pilsner,6.5,10.0,Fruit Beer,Orlando Brewing,Orlando,Florida
Orange Blossom Pilsner í_,11.0,10.0,Fruit Beer,Orlando Brewing,Orlando,Florida
Old Faithful Ale,4.5,10.0,American-Style Pale Ale,Grand Teton Brewing #2,Victor,Idaho
Teton Ale,4.5,10.0,American-Style Amber/Red Ale,Grand Teton Brewing #2,Victor,Idaho
Holyoke Dam Ale,4.5,10.0,American-Style Pale Ale,Paper City Brewing Company,Holyoke,Massachusetts
Genesis,4.5,10.0,American-Style Pale Ale,Shmaltz Brewing Company,San Francisco,California
Bittersweet Lenny R.I.P.A.,14.5,10.0,Imperial or Double India Pale Ale,Shmaltz Brewing Company,San Francisco,California
Bonaventure Pale Ale,5.5,10.0,American-Style Pale Ale,Bonaventure Brewing Co,Los Angeles,California
Tropical Mango,4.5,10.0,American-Style Pale Ale,St John Brewers,St. John,Virgin Islands
Point Of Rocks Pale Ale,4.5,10.0,American-Style Pale Ale,Vintage 50 Restaurant and Brew Lounge,Leesburg,Virginia
50 CAT IPA,4.5,10.0,American-Style India Pale Ale,Vintage 50 Restaurant and Brew Lounge,Leesburg,Virginia
Hop Mountain,5.6,10.0,American-Style Pale Ale,Old Dominion Brewing Co.,Dover,Delaware
Oak Barrel Stout,5.2,10.0,American-Style Stout,Old Dominion Brewing Co.,Dover,Delaware
Pine Belt Pale Ale,6.3,10.0,American-Style Pale Ale,Southern Star Brewing Company,Conroe,Texas
Buried Hatchet Stout,8.25,10.0,American-Style Stout,Southern Star Brewing Company,Conroe,Texas
Hudson Pale Ale,4.5,10.0,American-Style Pale Ale,New Jersey Beer Company,North Bergen,New Jersey
Pale Ale,4.4,25.0,American-Style Pale Ale,The St. Louis Brewrey,St. Louis,Missouri
The Public,6.0,10.0,American-Style Pale Ale,DC Brau,Washington,DC
Holy Mackerel Mack In Black,8.0,10.0,American-Style Strong Pale Ale,Gordash Brewing Company,Fort Lauderdale,Florida
Holy Mackerel Special Golden Ale,8.5,10.0,Belgian-Style Pale Strong Ale,Gordash Brewing Company,Fort Lauderdale,Florida
Green Monsta Ale,7.3,10.0,American-Style Strong Pale Ale,Wachusetts Brewing Company,Westminster,Massachusetts
Wachusetts IPA,4.5,10.0,American-Style India Pale Ale,Wachusetts Brewing Company,Westminster,Massachusetts
The Angel's Share - Bourbon Barrel Aged,12.5,10.0,American-Style Strong Pale Ale,The Lost Abbey,San Marcos,California
Serpents Stout,14.55,10.0,American-Style Imperial Stout,The Lost Abbey,San Marcos,California
Judgement Day,14.55,10.0,Belgian-Style Quadrupel,The Lost Abbey,San Marcos,California
Devotion,6.25,10.0,Belgian-Style Pale Ale,The Lost Abbey,San Marcos,California
Lost and Found Abbey Ale,7.5,10.0,Other Belgian-Style Ales,The Lost Abbey,San Marcos,California
Avant Garde,7.0,10.0,French & Belgian-Style Saison,The Lost Abbey,San Marcos,California
Red Barn Ale,6.7,10.0,French & Belgian-Style Saison,The Lost Abbey,San Marcos,California
Watershed IPA,7.1,10.0,American-Style Strong Pale Ale,Oakshire,Eugene,Oregon
Watershed IPA,7.1,10.0,American-Style Strong Pale Ale,Oakshire,Eugene,Oregon
Furious Beer,6.0,10.0,American-Style India Pale Ale,Surly Brewing,Brooklyn Center,Minnesota
Bender Beer,5.1,10.0,American-Style Brown Ale,Surly Brewing,Brooklyn Center,Minnesota
Darkness,14.53,10.0,American-Style Imperial Stout,Surly Brewing,Brooklyn Center,Minnesota
Bent Nail IPA,4.5,10.0,American-Style India Pale Ale,Red Lodge Ales,Red Lodge,Montana
Glacier Ale,4.5,10.0,American-Style Amber/Red Ale,Red Lodge Ales,Red Lodge,Montana
Woody Organic IPA,6.2,10.0,American-Style India Pale Ale,Roots Organic Brewing,Portland,Oregon
Duke IPA,5.1,10.0,American-Style India Pale Ale,Granite City Food & Brewery - Omaha,Omaha,Nebraska
Broad Axe Stout,5.0,10.0,American-Style Stout,Granite City Food & Brewery - Omaha,Omaha,Nebraska
Northern Light Lager,4.4,10.0,American-Style Lager,Granite City Food & Brewery - Omaha,Omaha,Nebraska
IPA,6.7,10.0,American-Style India Pale Ale,Terminal Gravity Brewing,Enterprise,Oregon
Hoppy Hour IPA,4.5,10.0,American-Style India Pale Ale,Mash House Restaurant and Brewery,Fayetteville,North Carolina
IPA,4.5,10.0,American-Style India Pale Ale,Schooner's Grille & Brewery,Antioch,California
Old Town IPA,4.5,10.0,American-Style India Pale Ale,Tustin Brewing,Tustin,California
Full Tilt IPA,4.5,10.0,American-Style India Pale Ale,Harbor City Brewing,Port Washington,Wisconsin
Mile Rock Amber Ale,4.5,10.0,American-Style Amber/Red Ale,Harbor City Brewing,Port Washington,Wisconsin
Main Street Brown Ale,4.5,10.0,American-Style Brown Ale,Harbor City Brewing,Port Washington,Wisconsin
Old Elephant Foot IPA,4.5,10.0,American-Style India Pale Ale,Tampa Bay Brewing,Tampa,Florida
IPA,4.5,10.0,American-Style India Pale Ale,Coach's Norman,Norman,Oklahoma
Kalamath Basin IPA,4.5,10.0,American-Style India Pale Ale,Mia and Pia's Pizzeria and Brewhouse,Klamath Falls,Oregon
Y2KIPA,4.5,10.0,American-Style India Pale Ale,Watson Brothers Brewhouse,Blue Ash,Ohio
Hop Daddy IPA,4.5,10.0,American-Style India Pale Ale,Main Street Brewery,Corona,California
Mesa Cerveza Schnorzenboomer,4.5,10.0,Traditional German-Style Bock,Main Street Brewery,Corona,California
Stuft Pizza Torrey Pines IPA,4.5,10.0,American-Style India Pale Ale,Del Mar Stuft Pizza and Brewing,San Diego,California
Pick Axe IPA,6.5,10.0,American-Style India Pale Ale,Socorro Springs Brewing,Socorro,New Mexico
Hops Explosion IPA,4.5,10.0,American-Style India Pale Ale,Watch City Brewing,Waltham,Massachusetts
Mister Hoppy IPA,4.5,10.0,American-Style India Pale Ale,Wolf Tongue Brewery,Nederland,Colorado
Hopyard IPA,5.3,10.0,American-Style India Pale Ale,Rockyard Brewing,Castle Rock,Colorado
IPA,4.5,10.0,American-Style India Pale Ale,Sprecher Brewing,Glendale,Wisconsin
Sprecher Pub Ale,4.5,10.0,American-Style Brown Ale,Sprecher Brewing,Glendale,Wisconsin
Sprecher Irish Stout,5.73,10.0,American-Style Stout,Sprecher Brewing,Glendale,Wisconsin
Sprecher Russian Imperial Stout,8.5,10.0,American-Style Imperial Stout,Sprecher Brewing,Glendale,Wisconsin
Hefe Weiss,4.2,10.0,South German-Style Hefeweizen,Sprecher Brewing,Glendale,Wisconsin
Sprecher Abbey Triple,8.41,10.0,Belgian-Style Tripel,Sprecher Brewing,Glendale,Wisconsin
Sprecher Oktoberfest,5.75,10.0,German-Style Oktoberfest,Sprecher Brewing,Glendale,Wisconsin
Black Bavarian Lager,5.86,10.0,German-Style Schwarzbier,Sprecher Brewing,Glendale,Wisconsin
Winter Brew,5.75,10.0,Traditional German-Style Bock,Sprecher Brewing,Glendale,Wisconsin
Sprecher Maibock,6.0,10.0,German-Style Heller Bock/Maibock,Sprecher Brewing,Glendale,Wisconsin
Sprecher Doppelbock,7.85,10.0,German-Style Doppelbock,Sprecher Brewing,Glendale,Wisconsin
Special Amber,5.0,10.0,American-Style Lager,Sprecher Brewing,Glendale,Wisconsin
Pale Lager,4.5,10.0,American-Style Lager,Sprecher Brewing,Glendale,Wisconsin
Anniversary Ale,4.5,10.0,Light American Wheat Ale or Lager,Sprecher Brewing,Glendale,Wisconsin
IPA,4.5,10.0,American-Style India Pale Ale,Carolina Brewery,Chapel Hill,North Carolina
Amber,4.5,10.0,American-Style Amber/Red Ale,Carolina Brewery,Chapel Hill,North Carolina
Stout,4.5,10.0,American-Style Stout,Carolina Brewery,Chapel Hill,North Carolina
Lager,4.5,10.0,American-Style Lager,Carolina Brewery,Chapel Hill,North Carolina
Hoppy Face Amber Ale,5.5,10.0,American-Style India Pale Ale,Hoppy Brewing Company,Sacramento,California
Stony Face Red Ale,5.6,10.0,American-Style Amber/Red Ale,Hoppy Brewing Company,Sacramento,California
Liquid Sunshine Blonde Ale,5.0,10.0,Golden or Blonde Ale,Hoppy Brewing Company,Sacramento,California
Total Eclipse Black Ale,5.6,10.0,American-Style Stout,Hoppy Brewing Company,Sacramento,California
Hoppy Claus Holiday Ale,7.8,10.0,Winter Warmer,Hoppy Brewing Company,Sacramento,California
IPA Pale Ale,4.5,10.0,American-Style India Pale Ale,Railway Brewing,Anchorage,Alaska
Ironhorse Not Brown,4.5,10.0,American-Style Brown Ale,Railway Brewing,Anchorage,Alaska
Kennebunkport IPA,4.5,10.0,American-Style India Pale Ale,Pugsley Brewing LLC,Portland,Maine
Thunderhead IPA,5.8,10.0,American-Style India Pale Ale,Thunder Canyon Brewery,Tucson,Arizona
Bengali Tiger,6.5,10.0,American-Style India Pale Ale,Sixpoint Craft Ales,Brooklyn,New York
Hop Obama,5.2,10.0,American-Style Amber/Red Ale,Sixpoint Craft Ales,Brooklyn,New York
Sweet Action,5.2,10.0,American-Style Cream Ale or Lager,Sixpoint Craft Ales,Brooklyn,New York
Righteous Ale,7.2,10.0,American Rye Ale or Lager,Sixpoint Craft Ales,Brooklyn,New York
Big Hop IPA,5.8,10.0,American-Style India Pale Ale,East End Brewing Company,Pittsburgh,Pennsylvania
Big Hop Harvest Ale,7.4,10.0,American-Style India Pale Ale,East End Brewing Company,Pittsburgh,Pennsylvania
