beer,abv,ibu,style,brewery,city,state
Amber Lager,4.5,10.0,American-Style Lager,"Pyramid Alehouse, Brewery and Restaurant - Berkeley",Berkeley,California
HefeWeizen,4.5,10.0,American-Style Lager,"Pyramid Alehouse, Brewery and Restaurant - Berkeley",Berkeley,California
Summer Brau,4.5,10.0,American-Style Lager,"Pyramid Alehouse, Brewery and Restaurant - Berkeley",Berkeley,California
Sun Fest,4.5,10.0,American-Style Lager,"Pyramid Alehouse, Brewery and Restaurant - Berkeley",Berkeley,California
Wheaten Ale,4.5,10.0,American-Style Lager,"Pyramid Alehouse, Brewery and Restaurant - Berkeley",Berkeley,California
Honey Weizen,4.5,10.0,American-Style Lager,"Pyramid Alehouse, Brewery and Restaurant - Berkeley",Berkeley,California
Apricot Wheat,5.1,10.0,Light American Wheat Ale or Lager,"Pyramid Alehouse, Brewery and Restaurant - Berkeley",Berkeley,California
Weizenberry,4.5,10.0,Light American Wheat Ale or Lager,"Pyramid Alehouse, Brewery and Restaurant - Berkeley",Berkeley,California
Organic Gingerbread Ale,6.8,10.0,Undefined-Ignore,Bison Brewing,Berkeley,California
Organic Barley Wine Ale 2005,9.5,10.0,Undefined-Ignore,Bison Brewing,Berkeley,California
Organic Belgian Ale,4.5,10.0,Undefined-Ignore,Bison Brewing,Berkeley,California
Bison Chocolate Stout,4.5,10.0,Undefined-Ignore,Bison Brewing,Berkeley,California
Red Oak Ale,4.5,10.0,American-Style Pale Ale,Bison Brewing,Berkeley,California
Old Boardhead 2006,9.0,10.0,Undefined-Ignore,Full Sail Brewing #1,Hood River,Oregon
Old Boardhead 1999,4.5,10.0,Undefined-Ignore,Full Sail Brewing #1,Hood River,Oregon
Wassail Winter Ale,4.5,10.0,Old Ale,Full Sail Brewing #1,Hood River,Oregon
Very Special Pale Golden Ale,5.9,10.0,American-Style Pale Ale,Full Sail Brewing #1,Hood River,Oregon
Pale Ale,4.5,10.0,American-Style Pale Ale,Full Sail Brewing #1,Hood River,Oregon
India Pale Ale,4.5,10.0,American-Style Pale Ale,Full Sail Brewing #1,Hood River,Oregon
Slip Knot Imperial IPA 2006,7.8,10.0,American-Style India Pale Ale,Full Sail Brewing #1,Hood River,Oregon
Nugget,4.5,10.0,American-Style Amber/Red Ale,Full Sail Brewing #1,Hood River,Oregon
Amber Ale,4.5,10.0,American-Style Amber/Red Ale,Full Sail Brewing #1,Hood River,Oregon
LTD 02 Lager,6.4,10.0,Traditional German-Style Bock,Full Sail Brewing #1,Hood River,Oregon
Session Premium Lager,5.1,10.0,American-Style Lager,Full Sail Brewing #1,Hood River,Oregon
471 Extra ESB,7.8,10.0,Undefined-Ignore,Breckenridge Brewery,Denver,Colorado
Summer Bright Ale,4.5,10.0,Undefined-Ignore,Breckenridge Brewery,Denver,Colorado
Lucky U Denver Special Bitter,4.5,10.0,Undefined-Ignore,Breckenridge Brewery,Denver,Colorado
471 Pilsner,4.5,10.0,Undefined-Ignore,Breckenridge Brewery,Denver,Colorado
Remarkable Vanilla Porter,4.5,10.0,Porter,Breckenridge Brewery,Denver,Colorado
Trademark English Pale,4.5,10.0,American-Style Pale Ale,Breckenridge Brewery,Denver,Colorado
471 Double IPA,9.2,10.0,American-Style India Pale Ale,Breckenridge Brewery,Denver,Colorado
471 IPA,9.2,10.0,Imperial or Double India Pale Ale,Breckenridge Brewery,Denver,Colorado
Avalanche Amber,5.4,10.0,American-Style Amber/Red Ale,Breckenridge Brewery,Denver,Colorado
Avalanche Amber,4.5,10.0,American-Style Amber/Red Ale,Breckenridge Brewery,Denver,Colorado
Autumn Ale,6.7,10.0,American-Style Brown Ale,Breckenridge Brewery,Denver,Colorado
Christmas Ale,4.5,10.0,American-Style Brown Ale,Breckenridge Brewery,Denver,Colorado
Oatmeal Stout,4.5,10.0,American-Style Stout,Breckenridge Brewery,Denver,Colorado
Thunder Stout,4.95,10.0,American-Style Stout,Breckenridge Brewery,Denver,Colorado
Hefe Proper Ale,4.5,10.0,American-Style Lager,Breckenridge Brewery,Denver,Colorado
Mountain Wheat,4.5,10.0,American-Style Lager,Breckenridge Brewery,Denver,Colorado
Haymaker Extra Pale Ale,4.5,10.0,Undefined-Ignore,BridgePort Brewing,Portland,Oregon
Old Knucklehead 2003,9.1,10.0,Undefined-Ignore,BridgePort Brewing,Portland,Oregon
Blue Heron Pale Ale,4.9,10.0,Undefined-Ignore,BridgePort Brewing,Portland,Oregon
ESB,6.1,10.0,Undefined-Ignore,BridgePort Brewing,Portland,Oregon
Old Knucklehead 1992,4.5,10.0,Undefined-Ignore,BridgePort Brewing,Portland,Oregon
Old Knucklehead 1997,4.5,10.0,Undefined-Ignore,BridgePort Brewing,Portland,Oregon
Old Knucklehead 1999,4.5,10.0,Undefined-Ignore,BridgePort Brewing,Portland,Oregon
Old Knucklehead 2000,9.1,10.0,Undefined-Ignore,BridgePort Brewing,Portland,Oregon
Bottle Conditioned Porter,5.5,10.0,Porter,BridgePort Brewing,Portland,Oregon
Porter,4.5,10.0,Porter,BridgePort Brewing,Portland,Oregon
Bridgeport India Pale Ale,5.5,10.0,American-Style India Pale Ale,BridgePort Brewing,Portland,Oregon
Beer Town Brown,4.5,10.0,American-Style Brown Ale,BridgePort Brewing,Portland,Oregon
Black Strap Stout,6.0,10.0,American-Style Stout,BridgePort Brewing,Portland,Oregon
Irish Style Ale,5.2,10.0,Undefined-Ignore,Dick's Brewing,Centralia,Washington
Double Diamond Winter,8.5,10.0,Undefined-Ignore,Dick's Brewing,Centralia,Washington
Grand Cru,14.5,10.0,Undefined-Ignore,Dick's Brewing,Centralia,Washington
Best Bitter,5.5,10.0,Undefined-Ignore,Dick's Brewing,Centralia,Washington
Barley Wine Ale,14.5,10.0,Undefined-Ignore,Dick's Brewing,Centralia,Washington
Lava Rock Porter,7.0,10.0,Porter,Dick's Brewing,Centralia,Washington
Pale Ale,4.5,10.0,American-Style Pale Ale,Dick's Brewing,Centralia,Washington
Silk Lady,4.4,10.0,American-Style Pale Ale,Dick's Brewing,Centralia,Washington
Bottleworks IPA,8.5,10.0,American-Style India Pale Ale,Dick's Brewing,Centralia,Washington
IPA,5.5,10.0,American-Style India Pale Ale,Dick's Brewing,Centralia,Washington
Danger Ale,5.2,10.0,American-Style Brown Ale,Dick's Brewing,Centralia,Washington
Cream Stout,4.5,10.0,American-Style Stout,Dick's Brewing,Centralia,Washington
Bond Street 19th Anniversary,8.7,10.0,Undefined-Ignore,Deschutes Brewery,Bend,Oregon
Bachelor Bitter,5.4,10.0,Ordinary Bitter,Deschutes Brewery,Bend,Oregon
Bachelor ESB,5.3,10.0,Extra Special Bitter,Deschutes Brewery,Bend,Oregon
Jubel 2000,4.5,10.0,Old Ale,Deschutes Brewery,Bend,Oregon
Black Butte Porter,5.2,10.0,Porter,Deschutes Brewery,Bend,Oregon
Black Butte XXI,11.0,10.0,Porter,Deschutes Brewery,Bend,Oregon
Hop Trip Fresh Hop Pale Ale,5.5,10.0,American-Style Pale Ale,Deschutes Brewery,Bend,Oregon
Mirrorpond Pale Ale,5.0,10.0,American-Style Pale Ale,Deschutes Brewery,Bend,Oregon
Cascade Golden Ale,4.5,10.0,American-Style Pale Ale,Deschutes Brewery,Bend,Oregon
Twilight Ale,5.0,10.0,American-Style Pale Ale,Deschutes Brewery,Bend,Oregon
Inversion IPA,6.8,10.0,American-Style India Pale Ale,Deschutes Brewery,Bend,Oregon
Quail Springs IPA,6.0,10.0,American-Style India Pale Ale,Deschutes Brewery,Bend,Oregon
Red Chair IPA,6.4,10.0,American-Style India Pale Ale,Deschutes Brewery,Bend,Oregon
Hop Henge Imperial IPA,8.75,10.0,Imperial or Double India Pale Ale,Deschutes Brewery,Bend,Oregon
Cinder Cone Red,5.4,10.0,American-Style Amber/Red Ale,Deschutes Brewery,Bend,Oregon
Green Lakes Organic Ale,5.2,10.0,American-Style Amber/Red Ale,Deschutes Brewery,Bend,Oregon
Mirror Mirror,11.0,10.0,American-Style Barley Wine Ale,Deschutes Brewery,Bend,Oregon
Buzzsaw Brown,4.8,10.0,American-Style Brown Ale,Deschutes Brewery,Bend,Oregon
Obsidian Stout,6.4,10.0,American-Style Stout,Deschutes Brewery,Bend,Oregon
The Abyss,11.0,10.0,American-Style Imperial Stout,Deschutes Brewery,Bend,Oregon
Brocken Top Bock,6.0,10.0,Traditional German-Style Bock,Deschutes Brewery,Bend,Oregon
Jubelale,6.7,10.0,Winter Warmer,Deschutes Brewery,Bend,Oregon
Fourteen,9.46,10.0,Undefined-Ignore,Avery Brewing Company,Boulder,Colorado
Samael's Oak-aged Ale,14.5,41.0,Strong Ale,Avery Brewing Company,Boulder,Colorado
Old Jubilation Ale,8.0,310.0,Strong Ale,Avery Brewing Company,Boulder,Colorado
"Maharaja, The",14.55,10.0,Imperial or Double India Pale Ale,Avery Brewing Company,Boulder,Colorado
Ale To The Chief,8.75,10.0,Imperial or Double India Pale Ale,Avery Brewing Company,Boulder,Colorado
DuganA IPA,8.5,10.0,Imperial or Double India Pale Ale,Avery Brewing Company,Boulder,Colorado
Hog Heaven Barleywine,9.2,10.0,American-Style Barley Wine Ale,Avery Brewing Company,Boulder,Colorado
Mephistopheles Stout,16.45,10.0,American-Style Stout,Avery Brewing Company,Boulder,Colorado
Czar Imperial Stout,11.9,10.0,American-Style Stout,Avery Brewing Company,Boulder,Colorado
"Reverend, The",14.5,10.0,Belgian-Style Quadrupel,Avery Brewing Company,Boulder,Colorado
Karma,5.2,10.0,Belgian-Style Pale Ale,Avery Brewing Company,Boulder,Colorado
The Beast Grand Cru,14.9,10.0,Belgian-Style Dark Strong Ale,Avery Brewing Company,Boulder,Colorado
Salvation,9.0,10.0,Other Belgian-Style Ales,Avery Brewing Company,Boulder,Colorado
WPA (Wheat Pale Ale),4.5,10.0,Undefined-Ignore,Minneapolis Town Hall Brewery,Minneapolis,Minnesota
